FECHA (YYMMDD);HORA (HHMM);;
180810;2200;35,0123;
180810;2300;143,133;
180811;0000;186,149;
180811;0100;188,293;
180811;0200;204,462;
180811;0300;228,202;
180811;0400;169,437;
180811;0500;221,824;
180811;0600;237,958;
180811;0700;84,7368;
180811;0800;63,5771;
180811;0900;54,882;
180811;1000;12,1799;
180811;1100;307,974;
180811;1200;300,792;
180811;1300;294,927;
180811;1400;285,424;
180811;1500;247,599;
180811;1600;254,429;
180811;1700;295,357;
180811;1800;15,4126;
180811;1900;33,5669;
180811;2000;47,8635;
180811;2100;51,7349;
180811;2200;316,65;
180811;2300;37,147;
180812;0000;79,4554;
180812;0100;116,659;
180812;0200;149,004;
180812;0300;101,261;
180812;0400;98,5607;
180812;0500;100,6;
180812;0600;111,967;
180812;0700;99,1274;
180812;0800;158,521;
180812;0900;158,96;
180812;1000;162,9;
180812;1100;214,382;
180812;1200;248,848;
180812;1300;240,788;
180812;1400;247,61;
180812;1500;244,154;
180812;1600;235,544;
180812;1700;260,304;
180812;1800;256,929;
180812;1900;197,353;
180812;2000;212,206;
180812;2100;186,576;
180812;2200;168,459;
180812;2300;149,012;
180813;0000;128,041;
180813;0100;160,279;
180813;0200;147,432;
180813;0300;159,054;
180813;0400;191,597;
180813;0500;171,665;
180813;0600;177,845;
180813;0700;157,333;
180813;0800;141,5;
180813;0900;278,787;
180813;1000;190,289;
180813;1100;219,723;
180813;1200;220,027;
180813;1300;220,998;
180813;1400;220,555;
180813;1500;218,919;
180813;1600;216,264;
180813;1700;211,17;
180813;1800;195,01;
180813;1900;182,793;
180813;2000;189,661;
180813;2100;184,598;
180813;2200;184,285;
180813;2300;180,272;
180814;0000;185,875;
180814;0100;196,523;
180814;0200;173,733;
180814;0300;191,614;
180814;0400;168,459;
180814;0500;154,592;
180814;0600;178,257;
180814;0700;178,22;
180814;0800;192,007;
180814;0900;187,366;
180814;1000;191,924;
180814;1100;210,171;
180814;1200;210,943;
180814;1300;210,742;
180814;1400;222,078;
180814;1500;215,128;
180814;1600;209,164;
180814;1700;210,032;
180814;1800;197,503;
180814;1900;177,966;
180814;2000;175,152;
180814;2100;133,976;
180814;2200;303,913;
180814;2300;1,09847;
180815;0000;129,896;
180815;0100;105,919;
180815;0200;303,045;
180815;0300;193,103;
180815;0400;119,884;
180815;0500;128,76;
180815;0600;278,642;
180815;0700;140,822;
180815;0800;111,373;
180815;0900;93,396;
180815;1000;176,446;
180815;1100;222,894;
180815;1200;240,821;
180815;1300;227,127;
180815;1400;215,909;
180815;1500;218,287;
180815;1600;224,518;
180815;1700;213,151;
180815;1800;192,892;
180815;1900;84,2452;
180815;2000;63,849;
180815;2100;45,142;
180815;2200;159,975;
180815;2300;44,459;
180816;0000;147,298;
180816;0100;61,5101;
180816;0200;111,528;
180816;0300;220,184;
180816;0400;185,628;
180816;0500;112,193;
180816;0600;245,711;
180816;0700;298,384;
180816;0800;7,76182;
180816;0900;13,9785;
180816;1000;220,388;
180816;1100;210,146;
180816;1200;254,338;
180816;1300;269,741;
180816;1400;257,316;
180816;1500;247,965;
180816;1600;237,181;
180816;1700;248,472;
180816;1800;151,441;
180816;1900;77,8059;
180816;2000;53,3056;
180816;2100;45,1722;
180816;2200;42,5293;
180816;2300;61,3597;
180817;0000;294,872;
180817;0100;243,516;
180817;0200;213,367;
180817;0300;213,217;
180817;0400;228,305;
180817;0500;178,508;
180817;0600;168,997;
180817;0700;145,138;
180817;0800;122,72;
180817;0900;201,784;
180817;1000;185,706;
180817;1100;247,195;
180817;1200;254,672;
180817;1300;253,376;
180817;1400;235,734;
180817;1500;269,306;
180817;1600;246,336;
180817;1700;194,529;
180817;1800;28,6839;
180817;1900;46,6386;
180817;2000;131,783;
180817;2100;182,612;
180817;2200;278,255;
180817;2300;153,336;
180818;0000;159,828;
180818;0100;183,481;
180818;0200;185,942;
180818;0300;196,408;
180818;0400;196,724;
180818;0500;198,084;
180818;0600;198,86;
180818;0700;202,88;
180818;0800;198,875;
180818;0900;200,932;
180818;1000;205,199;
180818;1100;217,252;
180818;1200;215,219;
180818;1300;216,556;
180818;1400;215,88;
180818;1500;211,413;
180818;1600;206,66;
180818;1700;202,932;
180818;1800;201,857;
180818;1900;198,157;
180818;2000;188,153;
180818;2100;193,215;
180818;2200;179,994;
180818;2300;199,335;
180819;0000;192,352;
180819;0100;200,058;
180819;0200;200,469;
180819;0300;190,315;
180819;0400;206,144;
180819;0500;191,219;
180819;0600;188,395;
180819;0700;193,402;
180819;0800;142,443;
180819;0900;182,154;
180819;1000;199,558;
180819;1100;216,399;
180819;1200;221,462;
180819;1300;221,067;
180819;1400;219,999;
180819;1500;221,375;
180819;1600;221,583;
180819;1700;219,715;
180819;1800;209,308;
180819;1900;45,957;
180819;2000;31,9483;
180819;2100;31,8034;
180819;2200;33,0451;
180819;2300;72,8745;
180820;0000;45,0016;
180820;0100;39,3033;
180820;0200;43,4741;
180820;0300;135,044;
180820;0400;160,217;
180820;0500;120,61;
180820;0600;44,6928;
180820;0700;177,621;
180820;0800;106,816;
180820;0900;2,36789;
180820;1000;299,887;
180820;1100;310,392;
180820;1200;236,69;
180820;1300;297,955;
180820;1400;315,038;
180820;1500;290,538;
180820;1600;316,794;
180820;1700;318,7;
180820;1800;308,127;
180820;1900;50,2429;
180820;2000;207,996;
180820;2100;159,793;
180820;2200;87,3809;
180820;2300;107,929;
180821;0000;126,012;
180821;0100;166,934;
180821;0200;137,031;
180821;0300;142,844;
180821;0400;154,835;
180821;0500;152,86;
180821;0600;140,862;
180821;0700;78,4716;
180821;0800;47,6505;
180821;0900;47,7399;
180821;1000;53,9762;
180821;1100;51,334;
180821;1200;308,29;
180821;1300;308,677;
180821;1400;290,421;
180821;1500;295,2;
180821;1600;296,493;
180821;1700;260,521;
180821;1800;167,363;
180821;1900;210,142;
180821;2000;136,728;
180821;2100;100,841;
180821;2200;250,075;
180821;2300;251,968;
180822;0000;99,4194;
180822;0100;98,8059;
180822;0200;172,891;
180822;0300;148,5;
180822;0400;153,385;
180822;0500;260,457;
180822;0600;125,026;
180822;0700;99,9677;
180822;0800;88,2238;
180822;0900;58,07;
180822;1000;355,87;
180822;1100;298,598;
180822;1200;293,248;
180822;1300;17,7595;
180822;1400;308,877;
180822;1500;310,93;
180822;1600;310,592;
180822;1700;305,554;
180822;1800;293,944;
180822;1900;302,032;
180822;2000;34,7849;
180822;2100;32,6006;
180822;2200;39,9454;
180822;2300;71,6621;
180823;0000;196,232;
180823;0100;181,302;
180823;0200;176,508;
180823;0300;131,412;
180823;0400;67,1768;
180823;0500;118,103;
180823;0600;154,002;
180823;0700;206,823;
180823;0800;106,763;
180823;0900;283,334;
180823;1000;286,325;
180823;1100;315,515;
180823;1200;306,479;
180823;1300;304,26;
180823;1400;308,753;
180823;1500;206,761;
180823;1600;174,717;
180823;1700;131,54;
180823;1800;149,784;
180823;1900;176,089;
180823;2000;178,72;
180823;2100;172,344;
180823;2200;175,895;
180823;2300;175,58;
180824;0000;173,35;
180824;0100;183,541;
180824;0200;176,554;
180824;0300;172,228;
180824;0400;180,184;
180824;0500;179,729;
180824;0600;182,82;
180824;0700;184,124;
180824;0800;179,6;
180824;0900;176,62;
180824;1000;175,501;
180824;1100;189,455;
180824;1200;210,526;
180824;1300;215,157;
180824;1400;219,827;
180824;1500;217,25;
180824;1600;213,654;
180824;1700;213,529;
180824;1800;209,797;
180824;1900;201,466;
180824;2000;205,75;
180824;2100;199,411;
180824;2200;197,814;
180824;2300;198,211;
180825;0000;191,249;
180825;0100;194,739;
180825;0200;195,103;
180825;0300;205,397;
180825;0400;196,196;
180825;0500;195,887;
180825;0600;201,294;
180825;0700;186,834;
180825;0800;178,86;
180825;0900;193,747;
180825;1000;214,415;
180825;1100;220,799;
180825;1200;216,082;
180825;1300;220,647;
180825;1400;221,629;
180825;1500;219,799;
180825;1600;218,221;
180825;1700;215,408;
180825;1800;215,024;
180825;1900;200,522;
180825;2000;152,237;
180825;2100;161,186;
180825;2200;148,779;
180825;2300;106,795;
180826;0000;21,364;
180826;0100;74,5042;
180826;0200;335,517;
180826;0300;269,223;
180826;0400;100,19;
180826;0500;84,8824;
180826;0600;312,325;
180826;0700;227,097;
180826;0800;262,252;
180826;0900;283,075;
180826;1000;296,021;
180826;1100;229,15;
180826;1200;246,749;
180826;1300;52,9771;
180826;1400;305,678;
180826;1500;344,625;
180826;1600;140,505;
180826;1700;89,0631;
180826;1800;50,9065;
180826;1900;33,9731;
180826;2000;39,5819;
180826;2100;64,5114;
180826;2200;68,9442;
180826;2300;86,3787;
180827;0000;135,68;
180827;0100;84,9606;
180827;0200;51,4592;
180827;0300;76,4351;
180827;0400;112,942;
180827;0500;80,172;
180827;0600;120,134;
180827;0700;129,838;
180827;0800;82,6136;
180827;0900;39,4175;
180827;1000;310,489;
180827;1100;297,038;
180827;1200;317,169;
180827;1300;313,374;
180827;1400;308,583;
180827;1500;306,68;
180827;1600;277,922;
180827;1700;241,584;
180827;1800;194,334;
180827;1900;175,171;
180827;2000;170,201;
180827;2100;215,384;
180827;2200;192,377;
180827;2300;213,494;
180828;0000;206,66;
180828;0100;175,891;
180828;0200;179,526;
180828;0300;225,161;
180828;0400;204,842;
180828;0500;209,619;
180828;0600;204,112;
180828;0700;192,388;
180828;0800;162,424;
180828;0900;112,459;
180828;1000;217,132;
180828;1100;255,399;
180828;1200;260,341;
180828;1300;250,923;
180828;1400;228,151;
180828;1500;227,81;
180828;1600;231,206;
180828;1700;232,561;
180828;1800;229,326;
180828;1900;240,262;
180828;2000;250,784;
180828;2100;141,495;
180828;2200;205,997;
180828;2300;216,872;
180829;0000;202,279;
180829;0100;173,418;
180829;0200;141,464;
180829;0300;233,633;
180829;0400;199,561;
180829;0500;211,065;
180829;0600;169,004;
180829;0700;191,931;
180829;0800;203,199;
180829;0900;222,836;
180829;1000;222,434;
180829;1100;211,182;
180829;1200;229,466;
180829;1300;249,291;
180829;1400;255,423;
180829;1500;248,483;
180829;1600;260,103;
180829;1700;303,734;
180829;1800;333,348;
180829;1900;32,8521;
180829;2000;44,5369;
180829;2100;36,8687;
180829;2200;312,122;
180829;2300;313,695;
180830;0000;289,459;
180830;0100;51,3317;
180830;0200;128,117;
180830;0300;78,3859;
180830;0400;100,012;
180830;0500;264,487;
180830;0600;266,991;
180830;0700;60,3285;
180830;0800;39,5785;
180830;0900;52,9424;
180830;1000;62,1111;
180830;1100;114,143;
180830;1200;251,556;
180830;1300;198,968;
180830;1400;264,173;
180830;1500;275,248;
180830;1600;116,017;
180830;1700;104,016;
180830;1800;44,0297;
180830;1900;38,4983;
180830;2000;35,4114;
180830;2100;57,5446;
180830;2200;313,342;
180830;2300;10,128;
