FECHA (YYMMDD);HORA (HHMM);;
180810;2000;60,4809;
180810;2100;92,0681;
180810;2200;84,8875;
180810;2300;80,3459;
180811;0000;112,581;
180811;0100;162,389;
180811;0200;199,543;
180811;0300;105,194;
180811;0400;108,615;
180811;0500;206,658;
180811;0600;126,965;
180811;0700;77,951;
180811;0800;68,4478;
180811;0900;61,1959;
180811;1000;56,1073;
180811;1100;284,556;
180811;1200;285,465;
180811;1300;282,274;
180811;1400;266,654;
180811;1500;249,613;
180811;1600;269,518;
180811;1700;252,786;
180811;1800;288,165;
180811;1900;83,4606;
180811;2000;64,3435;
180811;2100;57,4412;
180811;2200;258,129;
180811;2300;75,3015;
180812;0000;79,285;
180812;0100;208,997;
180812;0200;126,058;
180812;0300;98,3907;
180812;0400;79,5551;
180812;0500;102,383;
180812;0600;93,0183;
180812;0700;114,81;
180812;0800;125,217;
180812;0900;160,508;
180812;1000;211,317;
180812;1100;258,907;
180812;1200;218,545;
180812;1300;17,6392;
180812;1400;289,252;
180812;1500;277,24;
180812;1600;263,44;
180812;1700;266,883;
180812;1800;240,582;
180812;1900;222,735;
180812;2000;221,649;
180812;2100;219,769;
180812;2200;179,498;
180812;2300;110,984;
180813;0000;150,963;
180813;0100;71,1569;
180813;0200;109,528;
180813;0300;133,75;
180813;0400;161,164;
180813;0500;130,818;
180813;0600;131,537;
180813;0700;90,9697;
180813;0800;12,84;
180813;0900;289,997;
180813;1000;293,13;
180813;1100;247,495;
180813;1200;223,546;
180813;1300;220,196;
180813;1400;217,889;
180813;1500;216,861;
180813;1600;212,561;
180813;1700;211,368;
180813;1800;199,603;
180813;1900;201,998;
180813;2000;195,962;
180813;2100;174,646;
180813;2200;91,8615;
180813;2300;102,759;
180814;0000;140,592;
180814;0100;101,683;
180814;0200;107,899;
180814;0300;143,406;
180814;0400;155,48;
180814;0500;162,918;
180814;0600;67,2068;
180814;0700;99,5698;
180814;0800;99,5203;
180814;0900;320,845;
180814;1000;292,046;
180814;1100;292,737;
180814;1200;265,902;
180814;1300;271,137;
180814;1400;281,834;
180814;1500;252,618;
180814;1600;253,325;
180814;1700;265,412;
180814;1800;95,7559;
180814;1900;99,0515;
180814;2000;88,524;
180814;2100;97,2516;
180814;2200;203,438;
180814;2300;115,677;
180815;0000;123,718;
180815;0100;104,288;
180815;0200;221,675;
180815;0300;125,989;
180815;0400;127,812;
