FECHA (YYMMDD);HORA (HHMM);;
180810;1800;310,012;
180810;1900;41,6578;
180810;2000;36,5347;
180810;2100;43,8252;
180810;2200;31,3164;
180810;2300;49,4462;
180811;0000;97,9069;
180811;0100;112,415;
180811;0200;135,668;
180811;0300;239,166;
180811;0400;169,333;
180811;0500;177,7;
180811;0600;226,591;
180811;0700;65,9784;
180811;0800;57,0037;
180811;0900;45,5095;
180811;1000;48,4888;
180811;1100;292,305;
180811;1200;282,02;
180811;1300;290,254;
180811;1400;269,197;
180811;1500;232,726;
180811;1600;239,937;
180811;1700;270,74;
180811;1800;8,39818;
180811;1900;33,8867;
180811;2000;39,2073;
180811;2100;41,4694;
180811;2200;88,8278;
180811;2300;49,7333;
180812;0000;58,371;
180812;0100;71,0172;
180812;0200;151,372;
180812;0300;109,386;
180812;0400;76,4661;
180812;0500;86,9061;
180812;0600;73,0798;
180812;0700;94,0703;
180812;0800;160,982;
180812;0900;182,68;
180812;1000;179,123;
180812;1100;208,759;
180812;1200;215,922;
180812;1300;210,073;
180812;1400;226,605;
180812;1500;237,318;
180812;1600;236,471;
180812;1700;245,919;
180812;1800;234,528;
180812;1900;210,372;
180812;2000;214,947;
180812;2100;196,277;
180812;2200;171,605;
180812;2300;135,294;
180813;0000;124,087;
180813;0100;43,6241;
180813;0200;71,5508;
180813;0300;81,5355;
180813;0400;143,203;
180813;0500;119,612;
180813;0600;105,197;
180813;0700;75,5146;
180813;0800;64,8549;
180813;0900;256,919;
180813;1000;232,295;
180813;1100;210,765;
180813;1200;210,644;
180813;1300;209,114;
180813;1400;209,319;
180813;1500;205,594;
180813;1600;202,52;
180813;1700;197,874;
180813;1800;188,533;
180813;1900;177,051;
180813;2000;182,361;
180813;2100;178,08;
180813;2200;176,318;
180813;2300;159,444;
180814;0000;165,981;
180814;0100;185,35;
180814;0200;170,931;
180814;0300;187,231;
180814;0400;191,304;
180814;0500;166,155;
180814;0600;158,534;
180814;0700;118,055;
180814;0800;233,194;
180814;0900;200,597;
180814;1000;203,121;
180814;1100;205,587;
180814;1200;205,937;
180814;1300;204,929;
180814;1400;213,324;
180814;1500;207,206;
180814;1600;202,435;
