FECHA (YYMMDD);HORA (HHMM);;
180810;2300;61,0017;
180811;0000;100,986;
180811;0100;94,6779;
180811;0200;97,9653;
180811;0300;200,463;
180811;0400;103,853;
180811;0500;68,5557;
180811;0600;228,88;
180811;0700;65,5399;
180811;0800;68,1418;
180811;0900;55,4553;
180811;1000;191,62;
180811;1100;279,74;
180811;1200;275,084;
180811;1300;273,781;
180811;1400;270,482;
180811;1500;244,79;
180811;1600;245,575;
180811;1700;258,997;
180811;1800;304,111;
180811;1900;53,0565;
180811;2000;47,3077;
180811;2100;42,5255;
180811;2200;332,781;
180811;2300;44,5859;
180812;0000;64,2922;
180812;0100;340,579;
180812;0200;99,4518;
180812;0300;82,7979;
180812;0400;81,0892;
180812;0500;96,3052;
180812;0600;88,2985;
180812;0700;98,506;
180812;0800;107,97;
180812;0900;114,663;
180812;1000;187,766;
180812;1100;227,173;
180812;1200;254,778;
180812;1300;252,052;
180812;1400;249,81;
180812;1500;252,366;
180812;1600;257,983;
180812;1700;251,322;
180812;1800;257,09;
180812;1900;231,241;
180812;2000;213,757;
180812;2100;212,575;
180812;2200;206,88;
180812;2300;357,314;
180813;0000;294,4;
180813;0100;357,26;
180813;0200;54,0891;
180813;0300;77,1492;
180813;0400;141,409;
180813;0500;85,1982;
180813;0600;107,576;
180813;0700;73,4501;
180813;0800;75,9233;
180813;0900;117,529;
180813;1000;246,937;
180813;1100;242,792;
180813;1200;224,506;
180813;1300;221,82;
180813;1400;218,751;
180813;1500;217,507;
180813;1600;218,65;
180813;1700;216,862;
180813;1800;199,825;
180813;1900;180,976;
180813;2000;229,193;
180813;2100;190,673;
180813;2200;210,862;
180813;2300;156,073;
180814;0000;320,147;
180814;0100;297,314;
180814;0200;60,8258;
180814;0300;296,378;
180814;0400;180,352;
180814;0500;163,902;
180814;0600;52,5521;
180814;0700;66,6647;
180814;0800;348,607;
180814;0900;263,276;
180814;1000;239,742;
180814;1100;253,779;
180814;1200;236,271;
180814;1300;253,284;
180814;1400;253,893;
180814;1500;249,146;
180814;1600;246,759;
180814;1700;252,663;
180814;1800;259,846;
180814;1900;322,211;
180814;2000;340,148;
180814;2100;41,8085;
180814;2200;313,94;
180814;2300;77,4756;
180815;0000;64,1877;
180815;0100;75,4297;
180815;0200;314,118;
180815;0300;82,21;
180815;0400;89,792;
180815;0500;69,9078;
180815;0600;121,292;
180815;0700;79,002;
180815;0800;73,6123;
180815;0900;205,732;
180815;1000;237,059;
180815;1100;238,867;
180815;1200;250,668;
180815;1300;256,811;
180815;1400;262,2;
180815;1500;262,282;
180815;1600;286,012;
180815;1700;42,1549;
180815;1800;70,0712;
180815;1900;45,6346;
180815;2000;34,2381;
180815;2100;42,2443;
180815;2200;30,5964;
180815;2300;77,8308;
180816;0000;63,351;
180816;0100;48,04;
180816;0200;52,0022;
180816;0300;183,728;
180816;0400;122,257;
180816;0500;122,574;
180816;0600;124,438;
180816;0700;159,525;
180816;0800;61,0159;
180816;0900;76,6447;
180816;1000;246,555;
180816;1100;254,36;
180816;1200;257,797;
180816;1300;253,975;
180816;1400;251,266;
180816;1500;249,662;
180816;1600;240,407;
180816;1700;238,655;
180816;1800;283,634;
180816;1900;49,0253;
180816;2000;41,1767;
180816;2100;46,9513;
180816;2200;51,4236;
180816;2300;94,2198;
180817;0000;91,0911;
180817;0100;97,2759;
180817;0200;119,431;
180817;0300;76,437;
180817;0400;260,372;
180817;0500;136,002;
180817;0600;330,871;
180817;0700;294,855;
180817;0800;124,185;
180817;0900;211,326;
180817;1000;171,436;
180817;1100;249,146;
180817;1200;254,173;
180817;1300;253,128;
180817;1400;252,17;
180817;1500;257,518;
180817;1600;265,11;
180817;1700;272,989;
180817;1800;26,8219;
180817;1900;32,8372;
180817;2000;56,7176;
180817;2100;51,3646;
180817;2200;309,603;
180817;2300;33,1843;
180818;0000;43,3222;
180818;0100;8,6669;
180818;0200;184,275;
180818;0300;174,602;
180818;0400;194,017;
180818;0500;209,522;
180818;0600;208,851;
180818;0700;214,082;
180818;0800;215,196;
180818;0900;219,818;
180818;1000;218,404;
180818;1100;223,347;
180818;1200;219,221;
180818;1300;217,662;
180818;1400;215,824;
180818;1500;215,979;
180818;1600;215,207;
180818;1700;214,493;
180818;1800;212,275;
180818;1900;210,268;
180818;2000;191,867;
180818;2100;221,248;
180818;2200;193,048;
180818;2300;217,967;
180819;0000;204,852;
180819;0100;201,964;
180819;0200;185,449;
180819;0300;181,567;
180819;0400;230,982;
180819;0500;173,426;
180819;0600;142,378;
180819;0700;207,066;
180819;0800;336,459;
180819;0900;254,111;
180819;1000;248,944;
180819;1100;245,874;
180819;1200;245,952;
180819;1300;244,384;
180819;1400;246,413;
180819;1500;245,17;
180819;1600;253,684;
180819;1700;249,355;
180819;1800;22,2725;
180819;1900;27,7886;
180819;2000;56,6319;
180819;2100;43,0581;
180819;2200;41,1773;
180819;2300;56,3583;
180820;0000;51,9549;
180820;0100;48,0337;
180820;0200;32,6617;
180820;0300;72,0654;
180820;0400;29,6457;
180820;0500;67,616;
180820;0600;59,7686;
180820;0700;39,2932;
180820;0800;78,8649;
180820;0900;298,811;
180820;1000;318,315;
180820;1100;290,482;
180820;1200;269,849;
180820;1300;266,935;
180820;1400;276,451;
180820;1500;101,463;
180820;1600;281,092;
180820;1700;304,342;
180820;1800;328,49;
180820;1900;31,8445;
180820;2000;348,689;
180820;2100;62,2277;
180820;2200;57,4509;
180820;2300;97,6035;
180821;0000;135,131;
180821;0100;202,434;
180821;0200;147,358;
180821;0300;116,242;
180821;0400;84,5332;
180821;0500;102,743;
180821;0600;87,4205;
180821;0700;77,5387;
180821;0800;66,1904;
180821;0900;43,4344;
180821;1000;90,2323;
180821;1100;51,1944;
180821;1200;270,061;
180821;1300;304,411;
180821;1400;282,395;
180821;1500;280,873;
180821;1600;271,941;
180821;1700;286,506;
180821;1800;267,114;
180821;1900;238,361;
180821;2000;172,595;
180821;2100;106,077;
180821;2200;167,795;
180821;2300;204,716;
180822;0000;104,468;
180822;0100;58,4013;
180822;0200;271,863;
180822;0300;265,206;
180822;0400;90,9596;
180822;0500;119,351;
180822;0600;74,7604;
180822;0700;87,2483;
180822;0800;94,9917;
180822;0900;73,9598;
180822;1000;290,978;
180822;1100;257,843;
180822;1200;270,696;
180822;1300;64,6873;
180822;1400;298,566;
180822;1500;285,749;
180822;1600;304,918;
180822;1700;294,424;
180822;1800;290,537;
180822;1900;283,472;
180822;2000;59,2692;
180822;2100;354,83;
180822;2200;78,8647;
180822;2300;49,2772;
180823;0000;134,544;
180823;0100;95,9208;
180823;0200;141,073;
180823;0300;94,559;
180823;0400;48,1037;
180823;0500;125,01;
180823;0600;83,6893;
180823;0700;184,606;
180823;0800;104,408;
180823;0900;80,1147;
180823;1000;251,087;
180823;1100;257,085;
180823;1200;268,437;
180823;1300;292,759;
180823;1400;285,31;
180823;1500;224,98;
180823;1600;172,903;
180823;1700;105,536;
180823;1800;148,354;
180823;1900;169,82;
180823;2000;174,394;
180823;2100;162,303;
180823;2200;173,453;
180823;2300;180,784;
180824;0000;191,614;
180824;0100;210,509;
180824;0200;193,899;
180824;0300;171,926;
180824;0400;162,47;
180824;0500;158,789;
180824;0600;205,983;
180824;0700;187,823;
180824;0800;203,786;
180824;0900;208,25;
180824;1000;221,698;
180824;1100;219,238;
180824;1200;226,189;
180824;1300;222,57;
180824;1400;218,757;
180824;1500;217,824;
180824;1600;216,138;
180824;1700;215,052;
180824;1800;216,013;
180824;1900;219,451;
180824;2000;228,71;
180824;2100;216,94;
180824;2200;212,57;
180824;2300;220,899;
180825;0000;173,003;
180825;0100;208,41;
180825;0200;185,553;
180825;0300;200,701;
180825;0400;75,7288;
180825;0500;106,561;
180825;0600;123,928;
180825;0700;136,24;
180825;0800;148,917;
180825;0900;252,286;
180825;1000;245,801;
180825;1100;228,605;
180825;1200;226,363;
180825;1300;227,825;
180825;1400;219,108;
180825;1500;214,576;
180825;1600;233,067;
180825;1700;213,879;
180825;1800;199,806;
180825;1900;195,784;
180825;2000;25,2809;
180825;2100;56,9018;
180825;2200;52,4401;
180825;2300;49,2293;
180826;0000;26,7757;
180826;0100;29,6216;
180826;0200;27,0068;
180826;0300;72,1663;
180826;0400;51,1617;
180826;0500;105,252;
180826;0600;69,0348;
180826;0700;137,864;
180826;0800;144,985;
180826;0900;246,569;
180826;1000;288,883;
180826;1100;227,498;
180826;1200;145,69;
180826;1300;257,481;
180826;1400;267,623;
180826;1500;212,671;
180826;1600;118,221;
180826;1700;128,679;
180826;1800;44,1341;
180826;1900;37,4587;
180826;2000;51,3989;
180826;2100;76,0131;
180826;2200;67,7076;
180826;2300;83,3148;
180827;0000;89,069;
180827;0100;68,0398;
180827;0200;79,2583;
180827;0300;77,5898;
180827;0400;88,5367;
180827;0500;80,101;
180827;0600;103,379;
180827;0700;103,646;
180827;0800;88,2793;
180827;0900;60,3849;
180827;1000;150,693;
180827;1100;264,005;
180827;1200;269,16;
180827;1300;252,555;
180827;1400;247,46;
180827;1500;255,251;
180827;1600;239,663;
180827;1700;244,712;
180827;1800;243,191;
180827;1900;216,797;
180827;2000;212,368;
180827;2100;215,97;
180827;2200;217,912;
180827;2300;211,403;
180828;0000;202,292;
180828;0100;111,785;
180828;0200;59,1343;
180828;0300;299,694;
180828;0400;241,085;
180828;0500;210,686;
180828;0600;215,824;
180828;0700;216,13;
180828;0800;186,175;
180828;0900;235,758;
180828;1000;260,885;
180828;1100;258,9;
180828;1200;251,72;
180828;1300;250,63;
180828;1400;238,713;
180828;1500;244,006;
180828;1600;240,218;
180828;1700;224,748;
180828;1800;230,905;
180828;1900;262,909;
180828;2000;285,077;
180828;2100;311,848;
